性别,宗教,政治面貌,学历,学科,是否干部,社团类型,成长环境,是否接受过资助,大学是否志愿服务,项目开展频率,项目活动次数,活动持续时间,选择服务时间,参与项目总数,服务总时长,往返车程,服务类型之环保,社区,福利机构,助学助教,博物馆等,大型活动,其他,参与途径之学校社团,学院及班组织,校外项目,老师提供,其他途径,角色,培训情况,培训者,动机之增长才干,奉献社会,结交朋友,跟风,现实因素,其他动机,初衷实现,服务中断,中断服务之时间过多,不能自身能力,不认同项目目标,失去新鲜感,缺培训无法胜任,不认同组织形式,其他原因,争执,争执对象,争执强度,个人责任,个人处置,争执影响,未发生争执原因,挫折感,志愿服务现状满意度,过程快乐感,项目形式主义,解决困难主动性,志愿者素质,周围对志愿服务态度,服务后总结反馈,热情退却,服务提升能力,重视志愿者作用,F1,F2,F31,F32,F33,F34,满意度,动机实现,动机之被动,奉献社会1,动机之利他,动机之利己,动机之利己1,动机之利己2,动机之被动1,动机分布,动机分类,参加项目数,参加项目数量,满意度累计,失落,服务时间
2.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,70.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,2.0,2.0,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.626195003351237,3.6593511640888545,2.897236370021471,3.6160711250781836,2.8249683462556923,0.848890253477795,192.15093057486524,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,24.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,70.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,2.0,2.0,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.626195003351237,3.6593511640888545,2.897236370021471,3.6160711250781836,2.8249683462556923,0.848890253477795,192.15093057486524,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,24.0,0.0,0.0
2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,70.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,2.0,2.0,,5.0,1.0,2.0,4.0,1.0,5.0,1.0,4.0,4.0,2.0,2.0,-0.2545693244388489,-0.7960764660410542,0.38656898701707737,-1.385350174630871,-1.2746406838746542,0.710834914521566,-29.426146269310387,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,21.0,0.0,0.0
2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,70.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,2.0,2.0,,5.0,1.0,2.0,4.0,1.0,5.0,1.0,4.0,4.0,2.0,2.0,-0.2545693244388489,-0.7960764660410542,0.38656898701707737,-1.385350174630871,-1.2746406838746542,0.710834914521566,-29.426146269310387,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,21.0,0.0,0.0
2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,70.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,2.0,2.0,,5.0,1.0,2.0,4.0,1.0,5.0,1.0,4.0,4.0,2.0,2.0,-0.2545693244388489,-0.7960764660410542,0.38656898701707737,-1.385350174630871,-1.2746406838746542,0.710834914521566,-29.426146269310387,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,21.0,0.0,0.0
2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,70.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,2.0,2.0,,5.0,1.0,2.0,4.0,1.0,5.0,1.0,4.0,4.0,2.0,2.0,-0.2545693244388489,-0.7960764660410542,0.38656898701707737,-1.385350174630871,-1.2746406838746542,0.710834914521566,-29.426146269310387,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,21.0,0.0,0.0
2.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,50.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,,,,,,1.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,5.0,1.0,2.0,0.029425185860535344,-1.7785579422580826,-0.7510147225053434,-1.3502127976004188,0.8992604815222663,-1.1404324314063428,-41.83560474612776,1.0,0.0,6.0,7.0,1.0,7.0,7.0,0.0,13.0,3.0,1.0,1.0,26.0,0.0,0.0
2.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,50.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,,,,,,1.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,5.0,1.0,2.0,0.029425185860535344,-1.7785579422580826,-0.7510147225053434,-1.3502127976004188,0.8992604815222663,-1.1404324314063428,-41.83560474612776,1.0,0.0,6.0,7.0,1.0,7.0,7.0,0.0,13.0,3.0,1.0,1.0,26.0,0.0,0.0
2.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,50.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,,,,,,1.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,5.0,1.0,2.0,0.029425185860535344,-1.7785579422580826,-0.7510147225053434,-1.3502127976004188,0.8992604815222663,-1.1404324314063428,-41.83560474612776,1.0,0.0,6.0,7.0,1.0,7.0,7.0,0.0,13.0,3.0,1.0,1.0,26.0,0.0,0.0
2.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,50.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,,,,,,1.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,5.0,1.0,2.0,0.029425185860535344,-1.7785579422580826,-0.7510147225053434,-1.3502127976004188,0.8992604815222663,-1.1404324314063428,-41.83560474612776,1.0,0.0,6.0,7.0,1.0,7.0,7.0,0.0,13.0,3.0,1.0,1.0,26.0,0.0,0.0
2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,3.0,,,,,,1.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,4.0,2.0,3.0,1.9155973954402468,-1.8564104362397542,1.8795463551244829,-1.3823819013041059,0.868776565466753,-1.4686317769601256,8.428893830829232,0.0,0.0,6.0,7.0,1.0,7.0,7.0,0.0,13.0,3.0,1.0,1.0,32.0,0.0,0.0
2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,3.0,,,,,,1.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,0.02342944087051657,0.4131676799159511,0.46445537272704746,0.7630884739060847,-0.23522122430678366,-0.49982221873109106,12.190756307550101,0.0,0.0,6.0,7.0,1.0,7.0,7.0,0.0,13.0,3.0,1.0,1.0,22.0,1.0,0.0
2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,3.0,,,,,,1.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,4.0,2.0,3.0,1.9155973954402468,-1.8564104362397542,1.8795463551244829,-1.3823819013041059,0.868776565466753,-1.4686317769601256,8.428893830829232,0.0,0.0,6.0,7.0,1.0,7.0,7.0,0.0,13.0,3.0,1.0,1.0,32.0,0.0,0.0
2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,3.0,,,,,,1.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,0.02342944087051657,0.4131676799159511,0.46445537272704746,0.7630884739060847,-0.23522122430678366,-0.49982221873109106,12.190756307550101,0.0,0.0,6.0,7.0,1.0,7.0,7.0,0.0,13.0,3.0,1.0,1.0,22.0,1.0,0.0
2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,3.0,,,,,,1.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,4.0,2.0,3.0,1.9155973954402468,-1.8564104362397542,1.8795463551244829,-1.3823819013041059,0.868776565466753,-1.4686317769601256,8.428893830829232,0.0,0.0,6.0,7.0,1.0,7.0,7.0,0.0,13.0,3.0,1.0,1.0,32.0,0.0,0.0
2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,3.0,,,,,,1.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,0.02342944087051657,0.4131676799159511,0.46445537272704746,0.7630884739060847,-0.23522122430678366,-0.49982221873109106,12.190756307550101,0.0,0.0,6.0,7.0,1.0,7.0,7.0,0.0,13.0,3.0,1.0,1.0,22.0,1.0,0.0
2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,3.0,,,,,,1.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,4.0,2.0,3.0,1.9155973954402468,-1.8564104362397542,1.8795463551244829,-1.3823819013041059,0.868776565466753,-1.4686317769601256,8.428893830829232,0.0,0.0,6.0,7.0,1.0,7.0,7.0,0.0,13.0,3.0,1.0,1.0,32.0,0.0,0.0
2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,3.0,,,,,,1.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,0.02342944087051657,0.4131676799159511,0.46445537272704746,0.7630884739060847,-0.23522122430678366,-0.49982221873109106,12.190756307550101,0.0,0.0,6.0,7.0,1.0,7.0,7.0,0.0,13.0,3.0,1.0,1.0,22.0,1.0,0.0
2.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,40.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,3.0,,,,,,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.5240542528632064,0.7545155415330389,-0.08111156666968176,0.9236575114786856,-0.525198371130027,-0.05821071855318163,4.874806801326321,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,16.0,1.0,0.0
2.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,40.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,3.0,,,,,,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.5240542528632064,0.7545155415330389,-0.08111156666968176,0.9236575114786856,-0.525198371130027,-0.05821071855318163,4.874806801326321,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,16.0,1.0,0.0
2.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,40.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,3.0,,,,,,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.5240542528632064,0.7545155415330389,-0.08111156666968176,0.9236575114786856,-0.525198371130027,-0.05821071855318163,4.874806801326321,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,16.0,1.0,0.0
2.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,40.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,3.0,,,,,,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.5240542528632064,0.7545155415330389,-0.08111156666968176,0.9236575114786856,-0.525198371130027,-0.05821071855318163,4.874806801326321,0.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,16.0,1.0,0.0
2.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,100.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,,,,,3.0,,,,,,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,-1.6959231269784147,1.097189906084174,-1.533535234334189,0.8126100113842945,-0.9137851981420552,0.9124184602447085,-20.664038722987463,1.0,1.0,6.0,9.0,2.0,7.0,8.0,8.0,21.0,3.0,1.0,1.0,11.0,1.0,0.0
2.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,90.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,3.0,,,,,,3.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,-0.7713643121100232,-0.09334463188207334,-0.8439542541551457,-0.056787947039445445,-0.23547930261649624,-0.012314390669881195,-23.550428738728016,1.0,0.0,6.0,8.0,2.0,7.0,7.0,0.0,13.0,3.0,1.0,1.0,18.0,1.0,0.0
2.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,100.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,,,,,3.0,,,,,,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,-1.6959231269784147,1.097189906084174,-1.533535234334189,0.8126100113842945,-0.9137851981420552,0.9124184602447085,-20.664038722987463,1.0,1.0,6.0,9.0,2.0,7.0,8.0,8.0,21.0,3.0,1.0,1.0,11.0,1.0,0.0
